CUST ACCT #,CUSTOMER NAME,OPPORTUNITY NAME,ESTIMATED_MONTHLY_SALES,ESTIMATED_MONTHLY_GP,ESTIMATED_MONTHLY_GP_PERCENT,YTD_SALES,YTD_GP,YTD_GP_PERCENT
"TH1137","CANADY'S TIRE CORP","Rotating Electric",225,72,32%,0.000000,0.000000,
"WE1230","ECONO LUBE N TUNE","Rotating Electric",300,96,32%,0.000000,0.000000,
"WE1624","ROCKY MOUNTAIN TIRE & AUTO","Rotating Electric",275,88,32%,1392.770000,509.030000,36.55%
"TH2131","ALL AMERICAN AUTO REPAIR","Rotating Electric",350,112,32%,978.350000,352.060000,35.99%
"TH4520","WAYNE'S PERFORMANCE AUTOMOTIVE","Rotating Electric",200,64,32%,0.000000,0.000000,
"TH1305","COLORADO TRANSMISSION & DIESEL","Rotating Electric",225,72,32%,182.710000,51.360000,28.11%
"TH3693","ROADMASTERS AUTO & TIRE","Rotating Electric",450,144,32%,1691.620000,595.580000,35.21%
"TH1157","BRIGHTON RADIATOR","Rotating Electric",200,64,32%,0.000000,0.000000,
"TH3208","PEERLESS TYRE CO","Rotating Electric",125,40,32%,0.000000,0.000000,
"TH3792","STANG AUTO TECH","Rotating Electric",325,104,32%,510.200000,165.530000,32.44%
"TH2897","MAXAIR","Rotating Electric",100,32,32%,0.000000,0.000000,
"TH1870","VALENZUELAS INC.","Rotating Electric",200,64,32%,244.560000,72.440000,29.62%
"TH1454","DOC AUTOMOTIVE","Rotating Electric",275,88,32%,313.150000,109.470000,34.96%
"TH1760","FIFTH GEAR","Rotating Electric",300,96,32%,0.000000,0.000000,
"TH2806","SMOOTH RIDE AUTO REPAIR INC","Rotating Electric",200,64,32%,0.000000,0.000000,
"TH1009","AAMCO - BROOMFIELD","Rotating Electric",150,48,32%,0.000000,0.000000,
"DV1605","ECONO LUBE N TUNE/MEINEKE 4237","Rotating Electric",100,32,32%,0.000000,0.000000,
"TH2043","JACKSON'S AUTOMOTIVE SERVICE","Rotating Electric",125,40,32%,0.000000,0.000000,
"TH2863","MEINEKE CAR CARE CENTER","Rotating Electric",175,56,32%,0.000000,0.000000,
"TH1010","AAMCO NORTHGLENN","Rotating Electric",150,48,32%,0.000000,0.000000,
"WE1133","BENDING WRENCHES AUTOMOTIVE","Rotating Electric",450,144,32%,100.940000,46.880000,46.44%
"TH1178","TOTAL CAR CARE","Rotating Electric",275,88,32%,0.000000,0.000000,
"TH1649","FINN MOTOTECH","Rotating Electric",225,72,32%,0.000000,0.000000,
"TH1340","DIESEL DAY DREAMS LLC","Splash blades",100,50,50%,0.000000,0.000000,
"DV2492","JUST BRAKES-NORTHGLENN #59","Splash blades",100,50,50%,0.000000,0.000000,
"DV2908","MILLER'S GARAGE","Splash blades",100,50,50%,0.000000,0.000000,
"DV3845","TH AUTOMOTIVE","Splash blades",100,50,50%,0.000000,0.000000,
"TH3600","RANDY'S AUTO SERVICE","Splash blades",100,50,50%,0.000000,0.000000,
"TH1150","BROOMFIELD AUTO SERVICE CENTER","Splash blades",100,50,50%,0.000000,0.000000,
"TH3204","PARIS TIRE AND SERVICE INC.","Splash blades",100,50,50%,32.980000,14.690000,44.54%
"WE1148","ANDYS AUTOMOTIVE","Splash blades",100,50,50%,0.000000,0.000000,
"TH1576","PREMIER AUTOMOTIVE REPAIR","Splash blades",100,50,50%,0.000000,0.000000,
"TH2110","AUBRY'S AUTOMOTIVE","Splash blades",100,50,50%,0.000000,0.000000,
"FT2112","JIMINEZ AUTO SERVICE INC","Splash blades",100,50,50%,0.000000,0.000000,
"TH2315","HAYES AUTOMOTIVE, INC","Splash blades",100,50,50%,0.000000,0.000000,
"WE1358","DAN'S ALIGNMENT BRAKE","Splash blades",100,50,50%,339.700000,191.280000,56.31%
"WE1395","CONILOGUE QUALITY CAR &","Splash blades",100,50,50%,0.000000,0.000000,
"TH2752","LAUCK MOTORS INC","Splash blades",100,50,50%,0.000000,0.000000,
"TH3694","ROADMASTER AUTO AND TIRE","Splash blades",100,50,50%,0.000000,0.000000,
"WE1115","AUTOMOTIVE TECH CENTER","Splash blades",100,50,50%,0.000000,0.000000,
"TH1137","CANADY'S TIRE CORP","Splash blades",100,50,50%,0.000000,0.000000,
"WE1230","ECONO LUBE N TUNE","Splash blades",100,50,50%,0.000000,0.000000,
"WE1624","ROCKY MOUNTAIN TIRE & AUTO","Splash blades",100,50,50%,0.000000,0.000000,
"TH2131","ALL AMERICAN AUTO REPAIR","Splash blades",100,50,50%,0.000000,0.000000,
"TH4520","WAYNE'S PERFORMANCE AUTOMOTIVE","Splash blades",100,50,50%,0.000000,0.000000,
"TH1305","COLORADO TRANSMISSION & DIESEL","Splash blades",100,50,50%,0.000000,0.000000,
"TH3693","ROADMASTERS AUTO & TIRE","Splash blades",100,50,50%,0.000000,0.000000,
"TH1157","BRIGHTON RADIATOR","Splash blades",100,50,50%,0.000000,0.000000,
"TH3208","PEERLESS TYRE CO","Splash blades",100,50,50%,0.000000,0.000000,
"TH3792","STANG AUTO TECH","Splash blades",100,50,50%,519.300000,277.920000,53.52%
"TH2897","MAXAIR","Splash blades",100,50,50%,0.000000,0.000000,
"TH1870","VALENZUELAS INC.","Splash blades",100,50,50%,0.000000,0.000000,
"TH1454","DOC AUTOMOTIVE","Splash blades",100,50,50%,0.000000,0.000000,
"TH1760","FIFTH GEAR","Splash blades",100,50,50%,0.000000,0.000000,
"TH2806","SMOOTH RIDE AUTO REPAIR INC","Splash blades",100,50,50%,0.000000,0.000000,
"TH1009","AAMCO - BROOMFIELD","Splash blades",100,50,50%,0.000000,0.000000,
"DV1605","ECONO LUBE N TUNE/MEINEKE 4237","Splash blades",100,50,50%,0.000000,0.000000,
"TH2043","JACKSON'S AUTOMOTIVE SERVICE","Splash blades",100,50,50%,0.000000,0.000000,
"TH2863","MEINEKE CAR CARE CENTER","Splash blades",100,50,50%,0.000000,0.000000,
"TH1010","AAMCO NORTHGLENN","Splash blades",100,50,50%,0.000000,0.000000,
"WE1133","BENDING WRENCHES AUTOMOTIVE","Splash blades",100,50,50%,0.000000,0.000000,
"TH1178","TOTAL CAR CARE","Splash blades",100,50,50%,0.000000,0.000000,
"TH1649","FINN MOTOTECH","Splash blades",100,50,50%,0.000000,0.000000,
